dataset_id,profile,seed,variant,analysis_depth,method,path_depth,truth_paths,matched_paths,recall
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,direct,2,7,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,direct,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,direct,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,privileged,2,7,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,privileged,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,privileged,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,untyped,2,7,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,untyped,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,untyped,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,native_scope,2,7,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,native_scope,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,native_scope,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,graphtrust,2,7,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,graphtrust,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,1,graphtrust,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,direct,2,7,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,direct,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,direct,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,privileged,2,7,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,privileged,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,privileged,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,untyped,2,7,7,1.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,untyped,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,untyped,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,native_scope,2,7,2,0.2857142857142857
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,native_scope,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,native_scope,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,graphtrust,2,7,7,1.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,graphtrust,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,2,graphtrust,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,3,direct,2,7,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,3,direct,3,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,3,direct,4,3,0,0.0
seib-2026:saas_scaleup:small:104729:injected_mixed,saas_scaleup,104729,injected_mixed,3,privileged,2,7,0,0.0
